影	picture/image/reflection/shadow	yǐng
捌	complicated form of the numeral eight/split	bā
砹		ài
锩	to bend iron	juàn/juǎn
硗	stony soil	qiāo
怛	distressed/alarmed/shocked/grieved	dá
薜	Ficus pumila	bì
谰	make a false charge	lán
魈	elf	xiāo
鸶	heron	sī
塬		yuán
泫	weep	xuàn
傧	best man/entertain	bīn
滟	tossing of billows	yàn
溘	suddenly	kè
喁	breathing (of fish)	yóng
鳢	snakefish	lǐ
蛑	marine crab	móu
芑	Panicum miliaceum	qǐ
臟		zàng
龀	replace the milk teeth	chèn
裉	s seam in a garment	kèn
艉		wěi
熳	to spread	màn
柘	Cudrania triloba	zhè
硖	place name	xiá
鹁	woodpidgeon	bó
浼	ask a favor of	měi
捩	tear/twist	liè
裼		tì
孬		nāo
衽	overlapping part of Chinese gown	rèn
煅		duàn
鲚	Coilia nasus	jì
廛	market place	chán
镫	stirrup	dèng
鳙		yōng
灞	name of a river	bà
窀	grave	zhūn
輕		qīng
嵛	county in shandong province	yú
庹	length of 2 outstretched arms	tuǒ
怙	presume	hù
楦	block (hat)/stretch (shoe)	xuàn
猊	(mythical animal)/lion	ní
窳	bad/useless/weak	yǔ
檩	cross-beam/ridge-pole	lǐn
拊	pat	fǔ
瞋		tián
捭	spread out/to open, weed	bǎi/bài
鲃		bā
薹	Carex dispalatha	tái
嘏	good fortune/longevity, far/grand	gǔ/jiǎ
袼		gē
蘧	(surname)/Dianthus superbus	qú
艚	sea-going junk	cáo
箨	sheath around joints of bamboo	tuò
疔	boil/carbuncle	dīng
祎		yī
逄	(surname)	páng
廨	office	xiè
給		gěi
绡	raw silk	xiāo
邳		pī
獍	an animal which eats its mother	jìng
莨	Scopalia japonica maxin	làng
遺		yí
爨	(surname)/cooking-stove/to cook	cuàn
紹		shào
忉	grieved	dāo
蓊	a plant in bloom/thick	wěng
糌		zān
猁	a kind of monkey	lì
耜	plough/ploughshare	sì
磴	cliff-ledge/stone step	dèng
筇	species of bamboo	qióng
桴	beam/rafter	fú
锝		dé
筆		bǐ
骘	determine/promote/stallion	zhì
菡	lotus blossom	hàn
瓿		bù
佴	assistant	èr
炱	soot	tái
遄	hurry/go to and fro	chuán
陬	corner/foot of mountain	zōu
嵯	lofty (as of mountain)	cuó
砑	to calender	yà
皴	chapped/cracked	cūn
睥	look askance	bì/pì
妣	deceased mother	bǐ
薅	pull out (weed)	hāo
隰	(surname)/low/marshy land	xí
豉	salted fermented beans	chǐ
阚	(surname)/peep	kàn
猡	name of a tribe	luó
線		xiàn
莩	pellicle of culms, die of starvation	fú/piǎo
涠	still water	wéi
砬		lá
鞲		gōu
羝	billy goat/ram	dī
谿		jī
缍		duǒ
鵰		diāo
規		guī
樘		táng
義		yì
螓	small cicada with a square head	qín
妁	(surname)/matchmaker	shuò
镬	boiler or caldron	huò
鄹		zōu
鹛		méi
攵		fǎn
篦	fine-toothed comb/to comb	bì
筲	basket/bucket	shāo
滹	(surname)/name of a river	hū
蝻	immature locusts	nǎn
貝		bèi
镝	dysprosium	dī/dí
蝾	salamander	róng
泮	melt	pàn
糨		jiàng
鸸	emu	ér
瑗	large jade ring	yuàn
穀		yù
舳	poopdeck/stern of boat	zhú
蟥	horse-leech	huáng
趵	jump/leap	bào/bō
褙	paper or cloth pasted together	bèi
蹓		liū
侉		kuǎ
遠		yuǎn
哏		gén
莳	Peuceclanum gravelens/to plant	shí/shì
祆		xiān
肜	(surname)	róng
隨		suí
岜		bā
坩	crucible	gān
枘	tenon/tool handle	ruì
菰	Zizania latifolia/mushroom	gū
屣	slippers	xǐ
崦	name of a mountain in Gansu	yān
洇		yīn
锘		nuò
癔		yì
荑	(grass), to weed	tí/yí
總		zǒng
糗	(surname)/dry provisions	qiǔ
晡	3-5 p.m.	bū
舯		zhōng
顯		xiǎn
髀	buttocks/thigh	bì
逭	escape from	huàn
葸	feel insecure/unhappy	xǐ
砼		tóng
軟		ruǎn
禇		chǔ
殳	(surname)/spear	shū
檎	(fruit)	qín
菪	henbane	dàng
漯	name of a river	tà/luò
畎	field drains	quǎn
蚵	oyster	é/kē
檠	instrument for straightening bows	qíng
藁		gǎo
疳	rickets	gān
暾	sun above the horizon	tūn
醌		kūn
碶		qì
铑	rhodium	lǎo
怃	disappointed/startled	wǔ
枨	door post	chéng
鳐	ray (fish)	yáo
話		huà
辚	rumbling of wheels	lín
澌	drain dry/to exhaust	sī
脔	skinny/sliced meat	luán
葳	luxuriant	wēi
釋		shì
煺		tuì
門		mén
蕰		wēn
驽	worn out old horses	nú
璺	a crack, as in porcelain	wèn
霈	torrent of rain	pèi
芴	fluorine	wù
穸		xī
桕		jiù
腧		shù
谳	decide judicially	yàn
垓	boundary	gāi
簡		jiǎn
約		yuē
镓	gallium	jiā
醐	purest cream	hú
艨	war-boat	méng
嵫	name of a mountain in Gansu	zī
讀		dú
辂	chariot	lù
矯		jiǎo
艟		chōng
眇	minute (small)/subtle	miǎo
搴	seize	qiān
窬	hole in a wall	yú
莶		xiān
茕	alone/desolate	qióng
锱	ancient weight/one-eighth of a tael	zī
積		jī
確		què
鲵	Cryptobranchus japonicus/salamander	ní
荦	brindled ox/clear/eminent	luò
豇	cowpeas/black-eyed beans	jiāng
蒡	Arctium lappa/great burdock	bàng
戥	small steelyard for weighing money	děng
殄	exterminate	tiǎn
髹	red lacquer/to lacquer	xiū
俜	forlorn	pīng
剀	carefully/moderately	kǎi
谮	slander	zèn
胩		kǎ
鹣	mythical bird with 1 eye and 1 wing	jiān
脹		zhàng
秭	billion	zǐ
戽	water bucket for irrigation	hù
䜣		
麴		qū
計		jì
蒴	pod/capsule	shuò
杩		mà
砘		dùn
難		nán
桷	rafter/malus toringo	jué
哙	(surname)/throat/to swallow	kuài
彘	swine	zhì
呙		guō
選		xuǎn
麇	hornless deer	jūn
猞		shē
葶	Draba nemerosa bebe carpa	tíng
悫	honest	què
驺	go/mythical animal	zōu
芈	(surname)	mǐ
迓	receive (as a guest)	yà
赉	bestow/confer	lài
撄	oppose/to attack	yīng
锍		liǔ
哿	excellent/happy/well-being	gě
謝		xiè
桫	Stewartia pseudocamellia	suō
矇		měng
觚	goblet/rule/law	gū
郜	(surname)/name of a feudal state	gào
歃	drink	shà
柙	cage/pen/scabbard	xiá
锿		āi
鰽		qiú
訾	(surname)/backbite/wealth, backbite/dislike	zī/zǐ
納		nà
轾	back and lower of chariot/short/low	zhì
垧		shǎng
離		lí
蚍		pí
羼	confusion/sheep crowding	chàn
锼	to engrave (metal of wood)	sōu
罨	foment/valve	yǎn
缋	multi-color/to draw	huì
磲	Tridacna gigas	qú
僬	clever/pigmies	jiāo
萬		wàn
铌	niobium	ní
怿	pleased/rejoice	yì
殍	die of starvation	piǎo
铒	erbium	ěr
坼	to crack/split/break/to chap	chè
議		yì
纛	big banner/feather banner or fan	dào
籤		qiān
鬆		sòng
炻		shí
鹮		huán
甏		bèng
謂		wèi
蹀	tread on	dié
嫜	husband's parent/lady in the moon	zhāng
瘰	scrofula/tuberculosis of glands	luǒ
袴		kù
顸	dawdling	hān
眬		lóng
眙	place name	yí
續		xù
戗		qiāng
狺	snarling of dogs	yín
棹	table	zhuō/zhào
吣		qìn
茭	Zizania aquatica	jiāo
刿	cut/injure	guì
骐	piebald horse	qí
濞		bì
颡	forehead/kowtow	sǎng
跽	kneel	jì
護		hù
骺		hóu
鳇	sturgeon	huáng
辦		bàn
桤	alder	qī
椹	fruit of mulberry	shèn/zhēn
镗	noise of drums	tāng/táng
荈		chuǎn
窆	put a coffin in grave	biǎn
溲	urinate	sōu
瀣	mist/vapor	xiè
衛		wèi
鰕		xiā
橥	Zelkova acuminata	zhū
磙		gǔn
锫		péi
锖	the color of a mineral	qiāng
缌	fine linen	sī
預		yù
砜		fēng
絡		luò
萁	stalks of pulse	qí
溏	noncoagulative/pond	táng
杪	the limit/tip of branch	miǎo
褰	lift up the skirts/lower garments	qiān
鳡		gǎn
膽		dǎn
籀	(surname)/(writing)/develop	zhòu
顒		yú
缧	bind/bond	léi
葜		qiā
戢	collect oneself/put away	jí
苈	Drabanemerosa hebecarpa	lì
翥	soar	zhù
語		yǔ
蓍	Achillea sibirica	shī
顧		gù
蕤	fringe/overladen with flowers	ruí
蕹		wèng
褊	narrow/urgent	biǎn
昃	afternoon/decline	zè
跖	sole of foot	zhí
吖		ā
祢		mí
尻	end of spine	kāo
貘	tapir	mò
缑	(surname)	gōu
锬	long spear	tán
敉	peaceful	mǐ
嫫	ugly woman	mó
骖	outside horses of a team of 4	cān
鸮		xiāo
皲	to chap	jūn
練		liàn
豳	name of an ancient city	bīn
黼	(embroidery)	fǔ
锓		qǐn
仡	strong/brave	yì
習		xí
睚		yá
睃		suō
谂	consult	shěn
岽		dōng
鲥	shad/Ilisha elongata	shí
叻	place names	lè
秕	grain not fully grown/husks/withered grain/unripe grain	bǐ
鹋		miáo
镄		fèi
杌	low stool	wù
揎	pull up sleeves/strike with fists	xuān
酽	strong (of tea)	yàn
锎		kāi
渫	(surname)/get rid of/scatter	xiè
鲷	pagrus major	diāo
悛	to reform	quān
荸	water chestnut	bí
锇	osmium	é
獒	mastiff	áo
尕	(phonetic)	gǎ
苒	luxuriant growth/passing (of time)	rǎn
硭	crude saltpeter	máng
鲭	mackerel/mullet	qīng
薷	Elshotria paltrini	rú
誤		wù
轫	brake	rèn
魆		xū
伛	hunchbacked	yǔ
鮈		jū
侑	urge to eat	yòu
甓	glazed tile	pì
瘌	scabies/scald-head	là
旄	banner decorated with animal's tail, aged	máo/mào
旰	sunset/evening	gàn
飏		yáng
鸺	owl	xiū
镪	sulfuric acid, money/string of coins	qiāng/qiǎng
唢		suǒ
鲌		bà
嶷	name of a mountain in Hunan	yí
醍		tí
聬		wěng
貢		gòng
鸲	(mynah)	qú
葚	fruit of mulberry, fruit of mulberry	rèn/shèn
膂	backbone/strength	lǚ/lǚ
锞	grease-pot for cart/ingot	kè
頸		jǐng
璩	(jade ring)/(surname)	qú
栊	bar/cage/gratings	lóng
孥	child/offspring	nú
徼	by mere luck, boundary/go around	jiǎo/jiào
脈		mài
欷	to sob	xī
筌	bamboo fish trap	quán
锔	mend chinaware with staples, curium	jū/jú
镅		méi
跶		dá
維		wéi
醭	mold on liquids	bú
趼	callous	jiǎn
巯		qiú
硇		náo
傺	detain/hinder	chì
栌	capital (of column)/smoke tree	lú
縮		suō
舴	small boat	zé
姝	pretty woman	shū
鈤		rì
訓		xùn
榍		xiè
織		zhī
氙	xenon	xiān
墼		jī
钽		tǎn
祧	ancestral hall	tiāo
畋	cultivate (land)/to hunt	tián
跬	brief/short step	kuǐ
剡	river in Zhejiang, sharp	shàn/yǎn
楮	Broussonetia kasinoki	chǔ
锪		huō
響		xiǎng
達		dá
槠	Quercus glanca	zhū
毽	shuttlecock	jiàn
黥	(surname)/tattoo criminals on face	qíng
馇		zha
喹		kuí
蟲		chóng
菘	(cabbage)/Brassica chinensis	sōng
髟	hair/shaggy	biāo
钯	palladium	bǎ
暝	dark	míng
旒	tassel	liú
鲔	little tuna/Euthnnus allecteratus	wěi
鹇	silver pheasant badge worn by civil officials of the 5th grade	xián
資		zī
皤	white	pó
钐	samarium	shān
燠	warm	yù
湓	flowing of water/name of a river	pén
娈	beautiful	luán
吲		yǐn
踟	hesitating/undecided/hesitant	chí
哓	a cry of alarm/querulous	xiāo
淠	luxuriant (of water plants)	pì
連		lián
耋	aged/in one's eighties	diè/dié
锾	(ancient measure)/money	huán
悝	laugh at, sad	kuī/lǐ
識		shí
垴		nǎo
颟	dawdling	mān
閉		bì
篁	(bamboo)/bamboo grove	huáng
碲	tellurium	dì
顟		láo
聱	difficult to pronounce	áo
襻	a loop/a belt or band	pàn
蝥	Spanish fly/grain-eating grub	máo/móu
電		diàn
骀	tired/worn out horse	tái/dài
狴	(tapir)	bì
铟	indium	yīn
骙		kuí
玟	jade-like stone, veins in jade	mín/wén
劁		qiāo
黹	embroidery	zhǐ
陔	step/terrace	gāi
腘		guó
怍	ashamed	zuò
虧		kuī
釐		lí
镡	(surname)/knob on a sword-handle	tán
鸰		líng
聲		shēng
碁		qí
髫	tufts of hair on children	tiáo
犰	armadillo	qiú
鳑		páng
佾	row of dancers at sacrifices	yì
黟	black and shining ebony	yī
磻		bō
薑		jiāng
塍	raised path between fields	chéng
粎		mǐ
泐	write	lè
阯		zhǐ
骢	buckskin horse	cōng
筚	wicker	bì
複		fú
脞	chopped meat/trifles	cuǒ
藭		qiong
埸	border	yì
栲	mangrove	kǎo
邠		bīn
缵	carry on	zuǎn
觸		chù
檫		chá
磉	stone plinth	sǎng
铖	person's name	chéng
臍		qí
趱	hasten/urge	zǎn
钆	gadolinium	gá
鲏		pī
霪	heavy rain	yín
躐	step across	liè
瘗	bury/sacrifice	yì
儇	ingenious/frivolous	xuān
觋	wizard	xí
靈		líng
閱		yuè
陸		lù
垆	clay/shop	lú
麥		mài
镨	praseodymium	pǔ
茛	ranunculus	gèn
礎		chǔ
菧		dǐ
鱧		lǐ
谫	shallow/stupid	jiǎn
雞		jī
镟	lathe/thread in screw	xuàn
蕞	assemble/small	zuì
埚	crucible	guō
馘	cut off the left ear of the slain	guó
階		jiē
溽	damp/muggy	rù
埤	low wall	pí
赟		yūn
醡		zhà
攴		pō
絕		jué
赒		zhōu
迮	haste/to press	zé
艋	small boat	měng
載		zǎi
菥		xī
圹	tomb	kuàng
铗	pincers for use at a fire/sword	jiá
翮	quill	hé
繼		jì
劂	chisel/engrave	jué
聽		tīng
氇		lu
蹁	to limp	pián
聍		níng
號		hào
鞬		jiān
殂	die	cú
堙	bury/mound/to dam/close	yīn
祏		shí
該		gāi
谞		xū
蝓	snail	yú
坻	islet/rock in river, place name	chí/dǐ
鬘		mán
稜		léng
眾		zhòng
膬		cuì
囝	child	jiǎn
酞	phthalein (chemical)	tài
礅	stone block	dūn
刳	to cut open/rip up/scoop out	kū
埝		niàn
䦟		
穩		wěn
疬		lì
負		fù
鬱		yù
邊		biān
鳴		míng
餂		tián
鲳	a type of fish	chāng
荇	Limnanthemui nymphoides	xìng
蜾	Eumenes pomiformis	guǒ
脒		mǐ
蹻		jiǎo
绁	leash/rein	xiè
頻		pín
鲦	Chub leuciehthys	tiáo
諸		zhū
哚		duǒ
蓁		zhēn
狳	armadillo	yú
觇	keep at/to spy	zhān/chān
華		huá
黒		hēi
迴		huí
腳		jiǎo
萏	lotus	dàn
蓐	mat/rushes	rù
郤		qiè
鹎	bird	bēi
铫	pan with a long handle, (surname)/weeding tool	diào/yáo
縠		hú
郿		méi
鱇		kāng
眢	inflamed eyelids/parched	yuān
貼		tiē
箐		qìng
禊	purification ceremony	xì
缞		shuāi
阼	steps leading to the eastern door	zuò
珙	(gem)	gǒng
讓		ràng
幞		fú
鷟		zhuó
腈		jīng
篠		xiǎo
鍬		qiāo
詳		xiáng
郗	(surname)/name of an ancient city	chī/xī
責		zé
鶇		dōng
郫	place name	pí
粋		cuì
驩		huān
費		fèi
撙	regulate/restrain	zǔn
媵	maid escorting bride to new home	yìng
躞	to walk	xiè
棼	beams in roof/confused	fén
雙		shuāng
镎		ná
琚	ornamental gems for belt	jū
搦	take hold	nuò
顐		wèn
踬	stumble	zhì
卺	nuptial wine cup	jǐn
簋	round basket of bamboo	guǐ
鼩		qú
瞇		mī
拶	punish by squeezing fingers	zǎn/zā
車		chē
週		zhōu
辋	tire/wheel band	wǎng
雜		zá
鱖		guì
搠	daub/thrust	shuò
礙		ài
茲		zī
級		jí
飯		fàn
狁	name of a tribe	yǔn
镔	fine steel	bīn
藴		wēn
際		jì
貔	(leopard)	pí
陳		chén
祓	cleanse/remove evil	fú
箬	(bamboo)/skin of bamboo	ruò
雩	summer sacrifice for rain	yú
摅	set forth/to spread	shū
镠		liáo
褔		fù
鲴		gù
碥		biǎn
颙		yú
豂		liáo
柽	tamarisk	chēng
邗	name of an ancient river	hán
鼂		zhāo
藚		xù
芘	Malva sylvestris	pí
漶	indecipherable	huàn
铷	rubidium	rú
膠		jiāo
粫		ér
茀		bó
記		jì
麿		mǒ
饾		dòu
蕻	budding/flourishing	hòng/hóng
邽		guī
骝	bay horse with black mane	liú
顱		lú
蚺		rán
葉		yè
貅	(leopard)	xiū
耵		dīng
纔		shān
坌	bring together/dust	bèn
攮	to fend off/to stab	nǎng
氆	thick rough serge from Tibet	pǔ
貓		māo
掊	take up in both hands, break up/hit	póu/pǒu
缏	braid	biàn
猱	(monkey)/scratch	náo
膚		fū
貊	name of a wild tribe/silent	mò
蛸	long-legged spider, Octopus octopodia/mantis egg nest	shāo/xiāo
襞	creases/folds or pleats in a garment	bì
嚆	sound/noise	hāo
魟		gōng
犴	jail	àn
鎮		zhèn
纮		hóng
洎	to reach/when	jì
铊	thallium	tā
許		xǔ
塄		léng
陠		bū
铙	big cymbals	náo
溱	name of a river	zhēn/qín
搛		jiān
襦	jacket/short coat	rú
揠	eradicate/pull up	yà
緊		jǐn
鲽		dié
浍	drain/stream	kuài/huì
绂	ribbon for a seal/sash	fú
錯		cuò
靜		jìng
膯		tēng
铦		tiǎn
沭	river in Shandong	shù
瞍	blind	sǒu
試		shì
墁	to plaster	màn
興		xìng
陴	parapet	pí
飛		fēi
蒗	(herb)/place name	làng
荜	bean/pulse	bì
鲩		huàn
艖		chā
牾		wǔ
險		xiǎn
範		fàn
恧	ashamed	nǜ/nǜ
鮟		ān
項		xiàng
氽	boil for a short time	cuān/tǔn
慝	evil thought	tè
茇	betel	bá
癍		bān
鎯		láng
扃	shut	jiōng
阇		dū
糍		cí
酤	to deal in liquors	gū
昝		zǎn
糞		fèn
龍		lóng
順		shùn
趑		zī
袝		fù
脩		yǒu
衖		lòng
徂	to go/to reach	cú
纻		zhù
螋		sōu
潋	full of water/trough	liàn
舁	to lift/raise	yú
設		shè
赙	contribute to funeral expenses	fù
彖	running hog	tuàn
铈	cerium	shì
孓	larvae of mosquito	jué
麈	leader of herd/stag	zhǔ
絜		jié
圯	bridge, bank	yí
膿		nóng
鮠		wéi
顏		yán
尢	lame	wāng/yóu
矻		kū
鐮		lián
戋	narrow/small	jiān
柝	watchman's rattle	tuò
蓚		tiáo
菃		qú
劓	cut off the nose	yì
鲻	Mugil cephalus/grey mullet	zī
攉		huō
粞	ground rice/thresh rice	xī
鄩		xún
粯		xiàn
裒	collect	póu
钬	holmium	huǒ
萜		tiē
鮮		xiān
髮		fà
蓋		gài
忮	aggressive	zhì
菝	smilax china	bá
觫	tremble with fear	sù
沔	inundation/name of a river	miǎn
貪		tān
圉	stable, corral, enclosure/front	yǔ
茆		máo
颃	fly down	háng
蜩	cicada	tiáo
貴		guì
唣		zào
鄗		hào
骎		qīn
製		zhì
袪		qū
討		tǎo
雰		fēn
竅		qiào
悃	sincere	kǔn
蹠		zhí
椟	cabinet/case/casket	dú
帻	conical cap	zé
瞀	indistinct vision/dim	mào
栳	basket	lǎo
翙		huì
讉		yí
踰		yáo
遹		yù
蹯	paws of animal	fán
秾		nóng
辯		biàn
隈	bay/cove	wēi
蝰		kuí
廑	careful/hut	jǐn
餘		yú
蜱	(insect)/egg of mantis	pí
硏		yán
蓥		yíng
脫		tuō
臥		wò
埒	enclosure, dike, embankment	lèi/liè
談		tán
椠	wooden tablet/edition	qiàn
礌		lěi
鳜	helicolenus	guì
珉		mín
泺	name of a river	luò
萆	castor seed	bì
蒐		sōu
霨		wèi
橼	Citrus medica	yuán
鮊		bà
喈	harmonious (of music)	jiē
黻	(embroidery)	fú
驚		jīng
眚	cataract of the eye/error	shěng
鱲		là
豨		xī
樨	Osmanthus fragrans	xī
箜	ancient string music instrument	kōng
輶		yóu
仵	opponent	wǔ
鸻		héng
梃	a club (weapon)	tǐng
綮	embroidered banner	qǐ
惝	disappointed, disappointed	chǎng/tǎng
垸		yuàn
蒹	reed	jiān
绐		dài
酡	flushed (from drinking)	tuó
檗	Phyllodendron amurense	bò
烀		hū
毵	long-haired/shaggy	sān
蕈	mold/mushroom	xùn
埯		ǎn
鲿		cháng
篌	(mus. instr.)	hóu
盡		jìn
龂		yǎn
觏	complete/meet unexpectedly/see	gòu
鲐	globefish	tái
瘐	maltreat (as prisoners)	yǔ
柰	crab-apple/how can one help	nài
稓		zuó
諡		shì
鳈		quán
溷	disordered/privy	hùn
矧	(interrog.)	shěn
柒	seven (fraud-proof)	qī
簏	box/basket	lù
砟	fragments	zhǎ
膩		nì
岙		ào
舭		bǐ
禆		bì
棰	flog/whip	chuí
胬		nǔ
粚		lí
蹨		niǎn
膹		fèn
磾		dī
蒽		ēn
袓		jiē
詾		xiōng
醅	unstrained spirits	pēi
臌	dropsical/swollen	gǔ
閒		jiān
妤	handsome/fair	yú
評		píng
饸		hé
銧		guāng
踣	corpse/prostrate	bó
禍		huò
鎭		zhēn
絼		zhèn
酲	alcoholic	chéng
鱯		hù
飑	whirlwind	biāo
膫		liáo
辀		zhōu
仝	together/same	tóng
虡		jù
钸		bū
輸		shū
螘		yǐ
鄚		mào
肏		cào
贳	borrow/buy on credit/rent out	shì
茐		cōng
罽		jì
鯒		yǒng
酖		dān
䴘		
陧	dangerous	niè
蹐		jí
耱		mò
镙		luó
澉	place name/wash	gǎn
鹽		yán
璁	(gem)	cōng
轎		jiào
靸		sǎ
躄		bì
顣		cù
覩		dǔ
鐘		zhōng
屦	sandals	jù
汔	near	qì
闅		wén
蹅		zhā
甍	rafters supporting tiles	méng
耧	drill for sowing grain	lóu
祫		xiá
閮		tíng
葌		jiān
聭		kuì
汆		cuān
镴		là
坜		lì
訊		xùn
埭	dam	dài
夼		kuǎng
飗		liú
謴		gùn
擐	pass through/to get into (armor)	huàn
捃	gather/to sort	Jun 04
躜		zuān
鑑		jiàn
恝	indifferent	jiá
粌		yín
岈		yá
詢		xún
鋵		tū
蔯		chén
唼		shà
飢		jī
䥺		
箦		zé
睒		shǎn
鳁		wēn
雲		yún
禿		tū
蘇		sū
虒		tí
餬		hú
臜		zā
鄬		wéi
讟		dú
蕺	Houttuynia cordata	jí
缳	bind/tie/noose	huán
堠	mounds for beacons	hòu
鍋		guō
頗		pō
祂		tā
瘳	convalesce/recover/heal	chōu
茼	Chrysanthemum coronarium	tóng
頂		dǐng
陣		zhèn
忭	delighted/pleased	biàn
靰		wù
辻		shí
纁		xūn
舄	shoe/slipper	xì
觌	face to face	dí
麄		cū
薙		tì
绖		dié
郇	name of a feudal state	xún
貧		pín
眄	ogle	miǎn
鉁		zhēn
赕		dǎn
鄉		xiāng
榀		pǐn
鐣		zhǎng
閤		gē
駮		bó
䥇		
觔		jīn
瘵	foci of tubercular infection	zhài
鰨		tǎ
閟		bì
镩		cuān
枧		jiǎn
隊		duì
袣		yì
陁		tuó
眊		mèi
赇	to bribe	qiú
騃		ái
縱		zòng
鴥		yù
麑		ní
豐		fēng
綜		zōng
絽		lǚ
龠	(ancient measure)/flute	yuè
埴	soil with large clay content	zhí
鍩		tiǎn
脬	bladder	pāo
邾	(surname)/name of a feudal state	zhū
鯮		zōng
瘥	recover from disease, disease	chài/cuó
萩		jiāo
驅		qū
胠		qū
骕		sù
裈		kūn
鳀		tí
紀		jì
蕅		ǒu
鱤		gǎn
䴙		
笰		fèi
脮		tuǐ
跐		cī
耖		chào
罣		guà
遘	meet unexpectedly	gòu
簳		gǎn
邴	(surname)/ancient city name/happy	bǐng
硃		zhū
赆	farewell presents	jìn
蘋		pín
貐		yǔ
終		zhōng
鲕	caviar/fish roe	ér
頫		tiào
紬		chōu
鶎		zūn
鷉		sī
霅		zhá
鬲	(surname)/earthen pot/iron caldron	gé
紤		jiǔ
逿		dàng
铪	hafnium	hā
邲		bì
礓		jiāng
舉		jǔ
埘	hen roost	shí
鴱		ài
桄	Arenga saccharifera, rung of ladder	guāng/guàng
葰		jùn
阘		tà
鍏		wéi
膶		yen
繫		jì
貙		chū
鐻		jù
仂	surplus/tithe	lè
聛		bǐ
託		tuō
輓		wǎn
鮄		fú
鯔		zī
饹		le
聞		wén
猹		chá
迻		yí
贆		biāo
翹		qiào
纖		xiān
鮣		yin
眍		kōu
郙		fǔ
鹹		jiǎn
躼		uu
酺		pú
緣		yuán
豬		zhū
袧		gōu
駚		yǎng
蝤	larva/grub	qiú/yóu
馬		mǎ
蓮		lián
銀		yín
酹	pour out libation/sprinkle	lèi
訢		xī
鵳		jiān
贶	bestow/confer	kuàng
迯		táo
蜁		xuán
聖		shèng
齡		líng
鰲		áo
賦		fù
輳		còu
諹		yáng
铏		xíng
埏	to mix water with clay, boundary	shān/yán
蠋		zhú
缽		bō
贅		zhuì
鈦		tài
腩		nǎn
聯		lián
貏		bǐ
缻		fǒu
袛		dī
誖		bèi
莖		jīng
钘		jiān
賴		lài
鰜		jiān
鞮		dī
絲		sī
職		zhí
鮡		zhào
齒		chǐ
椐	Zelkowa acuminata	jū
鰁		quán
铚		zhì
黨		dǎng
鎰		yì
騾		luó
齁		kù
礞	(mineral)	méng
筍		sǔn
蜞	grapsus	qí
餗		sù
顩		yǎn
堍	side of bridge	tù
鲙		kuài
饋		kuì
诪		zhōu
絅		jiōng
籥		yào
揸		zhā
篚	round covered basket	fěi
鳉		jiāng
袊		líng
绠	rope/well-rope	gěng
羶		shān
铕	europium	yǒu
絁		shī
錄		lù
狃	accustomed to	niǔ
薤	Allium bakeri/shallot/scallion	xiè
铼	rhenium	lái
韻		yùn
霑		zhān
龁		hé
鋬		pàn
瞢		méng
袆		yī
箖		lín
隻		zhī
坫	stand for goblets	diàn
轹	to bully/wheel-rut	lì
髆		bó
釆		biǎn
訄		kāo
菑		zī
齾		è
鼷	mouse	xī
骃		yīn
蔎		shè
蹟		jì
舡		chuán
钲	gong used to halt troops	zhēng
滏	name of a river in Hebei	fǔ
銳		ruì
顗		yǐ
唛	mark	mà/mài
纩	fine floss-silk or cotton	kuàng
鼯	Petaurista leucogenys	wú
阨		è
蕿		xuān
颥		rú
鳓	(shad)/spermary of fish	lè
飽		bǎo
農		nóng
觍		tiǎn
驵	powerful horse	zǎng
鹀		wú
違		wéi
絷	connect/tie up	zhí
莤		yóu
紙		zhǐ
領		lǐng
癃	infirmity/retention of urine	lóng
鹡		jí
軌		guǐ
茖		luò
蝦		xiā
鲞	wine-preserved pomfret	xiǎng
魋		tuí
買		mǎi
筴		jiā
闆		pǎn
純		chún
潲	driving rain/to sprinkle	shào
蓣	dioscoreaceae	yù
鬂		bìn
茈	water chestnut, Lithospermum officinale	cí/zǐ
誌		zhì
衝		chōng
輔		fǔ
鲉		yóu
賈		jiǎ
譞		xuān
鹼		jiǎn
鞡		la
繸		suì
镱	ytterbium	yì
蔌	(surname)/vegetables	sù
鮀		tuó
課		kè
趨		qū
葷		hūn
鰡		liú
圬	to plaster/whitewash	wū
趽		páng
蒨		qiàn
謹		jǐn
蔀		bù
鯝		gù
謿		zhāo
郄		qiè
靦		miǎn
兕	rhinoceros indicus	sì
珧	mother-of-pearl	yáo
腠	the tissue between the skin and the flesh	còu
阽	dangerous, dangerous	diàn/yán
遲		chí
爝	torch	jué
盤		pán
鯆		bū
蠃	solitary wasp	luǒ
睺		hóu
釤		shān
膮		xiāo
垤	anthill/mound	dié
翧		xuān
闊		kuò
鍵		jiàn
蟫		yín
篥	bamboos good for poles/horn	lì
販		fàn
臉		liǎn
噍		jiào
眭	evil look of deep-set eyes	suī
坭	mud	ní
舖		pù
螝		guī
遆		tí
窩		wō
緡		mǐn
硱		kǔn
贇		yūn
鳘		mǐn
憝	dislike/hate	duì
滠	name of a river	shè
铓		máng
筸		gān
闇		ān
瘕	obstruction in the intestine	jiǎ
鋹		chǎng
郕		chéng
訉		fàn
邶	name of a feudal state	bèi
茌	name of a district in Shandong	chí
臅		chù
禛		zhēn
裝		zhuāng
鸊		bì
轺	light carriage	yáo
鱵		zhēn
鉀		jiǎ
誘		yòu
